title,category,content,tags,is_active,usage_count,created_by,id,created_date,updated_date,created_by_id,is_sample
"Procurement & tender support","scope","Assemble a tender pack (drawings/spec/BoQ) and manage Q&A: one 30-min pre-tender briefing, up to two addenda, and a structured evaluation matrix; allow 12–16 hours total to issue the pack, respond to up to 6 tender queries, complete the evaluation matrix, and provide a 2–3 page recommendation.","[""procurement"",""tender support"",""SoQ"",""tender evaluation"",""contractor selection""]","true","","mitchell@lysaght.net.nz","689d44ea753347a06d547097","2025-08-14T02:07:38.753000","2025-08-14T02:07:38.753000","689114bd8ff9b1e25eb9ba79",""
"Utility coordination & third-party approvals","scope","Contact up to four utility owners/operators to confirm capacity/clearances, overlay supplied utility plans on the civil base, and record outcomes in a 1–2 page summary; allow 4–6 hours for correspondence, mark-ups, and a consolidated “services confirmation” pack (emails + overlay plan).","[""utility coordination"",""third-party approvals"",""services confirmation"",""utility overlays"",""capacity checks""]","true","","mitchell@lysaght.net.nz","689d44d7e2cbb8407f4d8942","2025-08-14T02:07:19.913000","2025-08-14T02:07:19.913000","689114bd8ff9b1e25eb9ba79",""
"Project initiation & brief confirmation","assumption","Assumes all relevant background information, existing reports, and previous approvals are provided before the kickoff; client stakeholders are available for scheduled meetings and sign-offs within 2 working days; no major change in project objectives after the brief is agreed.","[""project initiation"",""information provision"",""stakeholder availability"",""scope stability""]","true","29","mitchell@lysaght.net.nz","689d452bd9bf22d0b8ade89b","2025-08-14T02:08:43.502000","2025-09-01T02:18:16.587000","689114bd8ff9b1e25eb9ba79",""
"Desktop study & site reconnaissance","assumption","Assumes all property boundaries, easements, and records provided are current and accurate; site is accessible during daylight hours without special permits; no hazardous conditions prevent walkover.","[""desktop study"",""record accuracy"",""site access"",""safety conditions""]","true","11","mitchell@lysaght.net.nz","689d4546c203c8feccec8242","2025-08-14T02:09:10.400000","2025-08-29T03:06:30.503000","689114bd8ff9b1e25eb9ba79",""
"Topographic & features survey","assumption","Assumes existing survey control is within 0.03 m accuracy and accessible; underground services shown from records only unless clearly marked on site; site is free of obstructions that prevent survey access to 95% of required area.","[""topographic survey"",""survey control"",""service accuracy"",""site access""]","true","3","mitchell@lysaght.net.nz","689d455ec203c8feccec8347","2025-08-14T02:09:34.736000","2025-08-28T19:56:10.714000","689114bd8ff9b1e25eb9ba79",""
"Concept civil design","assumption","Assumes sufficient topographic, geotechnical, and servicing data is available at concept stage; no specialist modelling beyond desktop capacity is required; client review feedback provided within 5 working days of issue.","[""concept design"",""data availability"",""modelling limits"",""review timeframes""]","true","","mitchell@lysaght.net.nz","689d459acd6f70a5e4670fc2","2025-08-14T02:10:34.326000","2025-08-14T02:10:34.326000","689114bd8ff9b1e25eb9ba79",""
"Erosion & sediment control (ESC) & construction staging plan","assumption","Assumes staging sequence is based on provided construction methodology; no complex environmental consents beyond standard sediment controls are required; site data is available and accurate.","[""ESC"",""staging sequence"",""environmental requirements""]","true","","mitchell@lysaght.net.nz","689d45c856860935dcb191f2","2025-08-14T02:11:20.111000","2025-08-14T02:11:20.111000","689114bd8ff9b1e25eb9ba79",""
"Boundary re-establishment / cadastral","assumption","Assumes title diagrams and survey datasets are accurate and up to date; no boundary disputes, adverse possession claims, or encroachments requiring legal resolution; pegging locations accessible and free from permanent obstructions.
","[""cadastral"",""title accuracy"",""no disputes"",""peg access""]","true","3","mitchell@lysaght.net.nz","689d4588858e35e7f9b5076e","2025-08-14T02:10:16.341000","2025-08-19T01:50:36.924000","689114bd8ff9b1e25eb9ba79",""
"Detailed civil design & documentation","assumption","Assumes no major design changes post-concept; utility capacity and alignments confirmed at or before design commencement; geotechnical, traffic, and flood modelling (if needed) provided by others; all approvals secured prior to IFC issue.","[""detailed design"",""utility confirmation"",""approvals"",""design stability""]","true","1","mitchell@lysaght.net.nz","689d45ad56860935dcb19128","2025-08-14T02:10:53.149000","2025-08-14T02:19:44.374000","689114bd8ff9b1e25eb9ba79",""
"Procurement & tender support","assumption","Assumes standard NZS contract forms or client templates are used; tender period is at least 10 working days; no formal tender evaluation panel attendance beyond scope unless agreed separately.","[""procurement"",""tender support"",""contract templates"",""tender period""]","true","","mitchell@lysaght.net.nz","689d462b7b474dad72970e5d","2025-08-14T02:12:59.205000","2025-08-14T02:12:59.205000","689114bd8ff9b1e25eb9ba79",""
"Utility coordination & third-party approvals","assumption","Assumes utility owners respond within 10 working days; no capacity upgrades or relocation works are required; supplied utility records are current and accurate.
","[""utilities"",""third-party approvals"",""record accuracy"",""response times""]","true","","mitchell@lysaght.net.nz","689d4615753347a06d547e08","2025-08-14T02:12:37.414000","2025-08-14T02:12:37.414000","689114bd8ff9b1e25eb9ba79",""
"Planning & consenting package","assumption","Assumes client obtains all required technical reports (geotech, ecology, contamination, traffic) supplied by others; council fees and lodgement costs are excluded; no hearings or public notification processes required.","[""planning"",""consenting"",""technical reports"",""fees"",""notification""]","true","","mitchell@lysaght.net.nz","689d45f6858e35e7f9b50c89","2025-08-14T02:12:06.029000","2025-08-14T02:12:06.029000","689114bd8ff9b1e25eb9ba79",""
"Project initiation & brief confirmation","exclusion","Excludes preparation of business cases, financial feasibility studies, or funding applications; excludes any additional workshops beyond those specified; excludes major rebriefing if project objectives change significantly after scope sign-off.","[""project initiation"",""business case"",""funding application"",""rebrief""]","true","30","mitchell@lysaght.net.nz","689d4668858e35e7f9b51148","2025-08-14T02:14:00.517000","2025-09-01T02:18:17.189000","689114bd8ff9b1e25eb9ba79",""
"Topographic & features survey","exclusion","Excludes subsurface service detection (e.g., GPR, potholing) unless specifically added; excludes access to private property without prior consent; excludes hydrographic or underwater survey work.","[""topographic survey"",""subsurface services"",""private access"",""hydrographic survey""]","true","7","mitchell@lysaght.net.nz","689d46931060ef7dbb1fd001","2025-08-14T02:14:43.492000","2025-08-29T03:06:32.285000","689114bd8ff9b1e25eb9ba79",""
"Project controls & reporting","assumption","Assumes project tracking is limited to the agreed action/RFI register and monthly summaries; no bespoke reporting formats beyond standard templates; client provides timely updates on changes or delays.","[""project controls"",""reporting"",""templates"",""timely updates""]","true","","mitchell@lysaght.net.nz","689d46032968b30952af1410","2025-08-14T02:12:19.137000","2025-08-14T02:12:19.137000","689114bd8ff9b1e25eb9ba79",""
"Construction set-out, monitoring & close-out ","assumption","Assumes site is ready for set-out on agreed dates; access is safe and unobstructed; construction is built to approved IFC drawings; any rework or additional visits beyond nominated allowances are variations.","[""construction set-out"",""site readiness"",""IFC compliance"",""variation triggers""]","true","1","mitchell@lysaght.net.nz","689d464110cddb98dc4919e6","2025-08-14T02:13:21.477000","2025-08-14T02:19:47.081000","689114bd8ff9b1e25eb9ba79",""
"Desktop study & site reconnaissance","exclusion","Excludes procurement of third-party specialist reports (e.g., geotechnical, ecological, contamination, archaeological); excludes title corrections or legal interpretation; excludes night-time or hazardous-condition site inspections.","[""desktop study"",""specialist reports"",""legal advice"",""hazardous inspections""]","true","7","mitchell@lysaght.net.nz","689d4676ef58901640cda78b","2025-08-14T02:14:14.903000","2025-08-19T01:50:39.587000","689114bd8ff9b1e25eb9ba79",""
"Concept civil design","exclusion","Excludes detailed engineering design suitable for construction; excludes hydraulic modelling, traffic modelling, or flood analysis; excludes quantity surveying beyond high-level cost estimate.","[""concept design"",""detailed design"",""modelling"",""QS""]","true","","mitchell@lysaght.net.nz","689d46bd753347a06d5484fc","2025-08-14T02:15:25.813000","2025-08-14T02:15:25.813000","689114bd8ff9b1e25eb9ba79",""
"Detailed civil design & documentation","exclusion","Excludes redesign due to scope or client changes after IFC issue; excludes specialist design for structures (bridges, retaining walls over height limits, culverts above capacity threshold) unless stated; excludes authority approval fees.","[""detailed design"",""redesign"",""specialist structures"",""authority fees""]","true","1","mitchell@lysaght.net.nz","689d46d9753347a06d548641","2025-08-14T02:15:53.391000","2025-08-14T02:19:50.851000","689114bd8ff9b1e25eb9ba79",""
"Boundary re-establishment / cadastral","exclusion","Excludes resolution of disputes, legal representation, or mediation; excludes lodging surveys with land titles office unless specifically stated; excludes relocation of permanent structures obstructing peg placement.","[""cadastral"",""legal disputes"",""lodgement"",""obstruction removal""]","true","2","mitchell@lysaght.net.nz","689d46a6852b5bf901af232e","2025-08-14T02:15:02.414000","2025-08-19T01:40:57.937000","689114bd8ff9b1e25eb9ba79",""
"Erosion & sediment control (ESC) & construction staging plan","exclusion","Excludes long-term environmental monitoring during works; excludes consenting processes for complex environmental approvals; excludes installation or maintenance of devices.","[""ESC"",""environmental monitoring"",""consenting"",""installation""]","true","","mitchell@lysaght.net.nz","689d46e5852b5bf901af28ca","2025-08-14T02:16:05.441000","2025-08-14T02:16:05.441000","689114bd8ff9b1e25eb9ba79",""
"Planning & consenting package","exclusion","Excludes attendance at hearings or Environment Court; excludes public notification processes; excludes preparation of technical reports outside planning scope.
","[""planning"",""consenting"",""hearings"",""public notification"",""technical reports""]","true","","mitchell@lysaght.net.nz","689d46f9170f8052354fe28a","2025-08-14T02:16:25.131000","2025-08-14T02:16:25.131000","689114bd8ff9b1e25eb9ba79",""
"Project controls & reporting","exclusion","Excludes bespoke client-specific software setup; excludes preparation of board-level reports or presentations; excludes tracking of workstreams outside agreed project scope.","[""project controls"",""software setup"",""board reporting"",""workstream tracking""]","true","","mitchell@lysaght.net.nz","689d470c00726bc53927b72a","2025-08-14T02:16:44.421000","2025-08-14T02:16:44.421000","689114bd8ff9b1e25eb9ba79",""
"Procurement & tender support","exclusion","Excludes legal drafting or review of contracts; excludes running a full procurement evaluation panel beyond agreed method; excludes re-tendering if initial tender is unsuccessful.","[""procurement"",""legal review"",""re-tender"",""evaluation panel""]","true","","mitchell@lysaght.net.nz","689d472700726bc53927b85a","2025-08-14T02:17:11.215000","2025-08-14T02:17:11.215000","689114bd8ff9b1e25eb9ba79",""
"Utility coordination & third-party approvals","exclusion","Excludes payment of authority fees; excludes physical service relocations or design thereof; excludes redesign to suit late utility owner changes outside agreed programme.","[""utilities"",""authority fees"",""service relocation"",""redesign""]","true","","mitchell@lysaght.net.nz","689d471aae926e681fc24096","2025-08-14T02:16:58.607000","2025-08-14T02:16:58.607000","689114bd8ff9b1e25eb9ba79",""
"Construction set-out, monitoring & close-out","exclusion","Excludes ongoing clerk-of-works or full-time supervision; excludes set-out beyond nominated visits; excludes as-built survey for any works outside the design scope; excludes post-construction maintenance monitoring.","[""construction set-out"",""supervision"",""as-built limits"",""maintenance monitoring""]","true","","mitchell@lysaght.net.nz","689d4738170f8052354fe3cc","2025-08-14T02:17:28.371000","2025-08-14T02:17:28.371000","689114bd8ff9b1e25eb9ba79",""
